site_number,site,gacc,state,grup,lat,lng,active,currency,url
105,FH-7 - New Growth,NOCC,CA,Mendocino NF,39.664444444444,-122.63805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=FH-7 - New Growth&gacc=NOCC&state=CA&grup=Mendocino NF
106,FH-7 - Old Growth,NOCC,CA,Mendocino NF,39.664444444444,-122.63805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=FH-7 - Old Growth&gacc=NOCC&state=CA&grup=Mendocino NF
107,Foresta - New,SOCC,CA,Yosemite NP,37.7025,-119.74472222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Foresta - New&gacc=SOCC&state=CA&grup=Yosemite NP
108,Foresta - Old,SOCC,CA,Yosemite NP,37.7025,-119.74472222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Foresta - Old&gacc=SOCC&state=CA&grup=Yosemite NP
109,Fortynine C2A,NOCC,CA,BLM -Northern CA District,41.600277777778,-119.97444444444,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Fortynine C2A&gacc=NOCC&state=CA&grup=BLM -Northern CA District
110,Fouts Springs,NOCC,CA,PGE - NOCC,39.368333333333,-122.615,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Fouts Springs&gacc=NOCC&state=CA&grup=PGE - NOCC
111,Frazier Park,SOCC,CA,PGE-SOCC,34.828611111111,-118.93694444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Frazier Park&gacc=SOCC&state=CA&grup=PGE-SOCC
112,Frazier Park new growth,SOCC,CA,Kern County FD,34.824444444444,-118.93694444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Frazier Park new growth&gacc=SOCC&state=CA&grup=Kern County FD
113,Frazier Park old growth,SOCC,CA,Kern County FD,34.824444444444,-118.93694444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Frazier Park old growth&gacc=SOCC&state=CA&grup=Kern County FD
114,Friend Mountain,NOCC,CA,Shasta-Trinity NF,40.505277777778,-123.34333333333,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Friend Mountain&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
115,Gasquet,NOCC,CA,Six Rivers NF,41.849722222222,-124.0075,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Gasquet&gacc=NOCC&state=CA&grup=Six Rivers NF
116,Geysers (Sonoma County),NOCC,CA,CalFire Lake Napa Unit,38.775833333333,-122.82083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Geysers (Sonoma County)&gacc=NOCC&state=CA&grup=CalFire Lake Napa Unit
117,Geysers Peak,NOCC,CA,CalFire Lake Napa Unit,38.775833333333,-122.82083333333,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Geysers Peak&gacc=NOCC&state=CA&grup=CalFire Lake Napa Unit
118,Gifford,SOCC,CA,Los Padres NF,35.108888888889,-120.07638888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Gifford&gacc=SOCC&state=CA&grup=Los Padres NF
