site_number,site,gacc,state,grup,lat,lng,active,currency,url
199,Mt Elizabeth,SOCC,CA,Stanislaus NF,38.063055555556,-120.2475,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mt Elizabeth&gacc=SOCC&state=CA&grup=Stanislaus NF
200,Mt. Baldy Village,SOCC,CA,Angeles NF,34.233888888889,-117.66388888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mt. Baldy Village&gacc=SOCC&state=CA&grup=Angeles NF
201,Mt. Emma,SOCC,CA,SCE,34.480833333333,-118.06972222222,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mt. Emma&gacc=SOCC&state=CA&grup=SCE
202,Mt. Umunhum,NOCC,CA,CalFire Santa Clara Unit,37.14,-121.8875,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mt. Umunhum&gacc=NOCC&state=CA&grup=CalFire Santa Clara Unit
203,Mt. Woodson Station,SOCC,CA,CDF San Diego Unit,33.002777777778,-116.96138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mt. Woodson Station&gacc=SOCC&state=CA&grup=CDF San Diego Unit
204,Mule Ck GS,NOCC,CA,Shasta-Trinity NF,40.862222222222,-122.81583333333,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mule Ck GS&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
205,nacimiento,SOCC,CA,Los Padres NF,36.0075,-121.45,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=nacimiento&gacc=SOCC&state=CA&grup=Los Padres NF
206,Nevada City,NOCC,CA,CalFire Nevada-Yuba Unit,39.248611111111,-121.02861111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Nevada City&gacc=NOCC&state=CA&grup=CalFire Nevada-Yuba Unit
207,Oak Flat,SOCC,CA,Los Padres NF,34.471388888889,-118.91083333333,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Oak Flat&gacc=SOCC&state=CA&grup=Los Padres NF
208,Oak Knoll,NOCC,CA,Klamath NF,41.838611111111,-122.85027777778,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Oak Knoll&gacc=NOCC&state=CA&grup=Klamath NF
209,Oak Run,NOCC,CA,PGE - NOCC,40.728333333333,-122.02,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Oak Run&gacc=NOCC&state=CA&grup=PGE - NOCC
210,Oakhurst,SOCC,CA,PGE-SOCC,37.418055555556,-119.62916666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Oakhurst&gacc=SOCC&state=CA&grup=PGE-SOCC
211,Old Camptonville manzanita,NOCC,CA,Tahoe NF,39.448888888889,-121.06027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Old Camptonville manzanita&gacc=NOCC&state=CA&grup=Tahoe NF
212,Old Camptonville tanoak,NOCC,CA,Tahoe NF,39.448888888889,-121.06027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Old Camptonville tanoak&gacc=NOCC&state=CA&grup=Tahoe NF
213,Old Man CG,NOCC,CA,Shasta-Trinity NF,40.853333333333,-122.40777777778,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Old Man CG&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
214,Old Toll Road,NOCC,CA,PGE - NOCC,38.633333333333,-122.595,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Old Toll Road&gacc=NOCC&state=CA&grup=PGE - NOCC
215,Onion Valley,NOCC,CA,Tahoe NF,39.261388888889,-120.65166666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Onion Valley&gacc=NOCC&state=CA&grup=Tahoe NF
216,Oregon House,NOCC,CA,PGE - NOCC,39.329444444444,-121.26,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Oregon House&gacc=NOCC&state=CA&grup=PGE - NOCC
217,Painted Cave,SOCC,CA,Santa Barbara County FD,34.498055555556,-119.78916666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Painted Cave&gacc=SOCC&state=CA&grup=Santa Barbara County FD
218,Parkfield New Growth,SOCC,CA,CDF BEU,35.966666666667,-120.47305555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Parkfield New Growth&gacc=SOCC&state=CA&grup=CDF BEU
219,Parkfield Old Growth,SOCC,CA,CDF BEU,35.966666666667,-120.47305555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Parkfield Old Growth&gacc=SOCC&state=CA&grup=CDF BEU
220,Parkhill,SOCC,CA,CDF San Luis Obispo Unit,35.41,-120.54222222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Parkhill&gacc=SOCC&state=CA&grup=CDF San Luis Obispo Unit
221,Paynes Creek Sportsmans Club,NOCC,CA,CalFire Tehama-Glenn Unit,40.307777777778,-121.81138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Paynes Creek Sportsmans Club&gacc=NOCC&state=CA&grup=CalFire Tehama-Glenn Unit
222,Peach Motorway,SOCC,CA,LA County,34.355555555556,-118.53472222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Peach Motorway&gacc=SOCC&state=CA&grup=LA County
223,Peavine,NOCC,CA,Eldorado NF,38.799444444444,-120.46611111111,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Peavine&gacc=NOCC&state=CA&grup=Eldorado NF
224,Pebble,NOCC,CA,Eldorado NF,38.688055555556,-120.41444444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pebble&gacc=NOCC&state=CA&grup=Eldorado NF
225,Pebble Beach New Growth,SOCC,CA,CDF BEU,36.591111111111,-121.93638888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pebble Beach New Growth&gacc=SOCC&state=CA&grup=CDF BEU
226,Pebble Beach Old Growth,SOCC,CA,CDF BEU,36.591111111111,-121.93638888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pebble Beach Old Growth&gacc=SOCC&state=CA&grup=CDF BEU
227,Peddler,NOCC,CA,Eldorado NF,38.568333333333,-120.26694444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Peddler&gacc=NOCC&state=CA&grup=Eldorado NF
228,Pico Canyon,SOCC,CA,LA County,34.377777777778,-118.59555555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pico Canyon&gacc=SOCC&state=CA&grup=LA County
229,Pike County,NOCC,CA,Plumas NF,39.503611111111,-121.21222222222,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pike County&gacc=NOCC&state=CA&grup=Plumas NF
230,Pillsbury,NOCC,CA,Mendocino NF,39.433611111111,-122.97388888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pillsbury&gacc=NOCC&state=CA&grup=Mendocino NF
231,Pine Acres,SOCC,CA,PGE-SOCC,38.390555555556,-120.6325,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pine Acres&gacc=SOCC&state=CA&grup=PGE-SOCC
232,Pine Cove,SOCC,CA,CDF Riverside Unit,33.721666666667,-116.7225,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pine Cove&gacc=SOCC&state=CA&grup=CDF Riverside Unit
233,Pine Flat,NOCC,CA,PGE - NOCC,38.760833333333,-122.75777777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pine Flat&gacc=NOCC&state=CA&grup=PGE - NOCC
234,Pit River,NOCC,CA,Modoc NF,41.235,-120.40333333333,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pit River&gacc=NOCC&state=CA&grup=Modoc NF
235,Placerita Canyon,SOCC,CA,LA County,34.375277777778,-118.43888888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Placerita Canyon&gacc=SOCC&state=CA&grup=LA County
236,Plum Canyon,SOCC,CA,LA County,34.443333333333,-118.49277777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Plum Canyon&gacc=SOCC&state=CA&grup=LA County
237,Pollock Pines,NOCC,CA,PGE - NOCC,38.762777777778,-120.66861111111,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pollock Pines&gacc=NOCC&state=CA&grup=PGE - NOCC
238,ponderosa,SOCC,CA,Los Padres NF,35.998333333333,-121.38527777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=ponderosa&gacc=SOCC&state=CA&grup=Los Padres NF
239,"Ponderosa Basin Ceanothus, Buckbrush New",SOCC,CA,Sierra NF,37.476111111111,-119.75972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Ponderosa Basin Ceanothus, Buckbrush New&gacc=SOCC&state=CA&grup=Sierra NF"
240,"Ponderosa Basin Ceanothus, Buckbrush Old",SOCC,CA,Sierra NF,37.476111111111,-119.75972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Ponderosa Basin Ceanothus, Buckbrush Old&gacc=SOCC&state=CA&grup=Sierra NF"
241,"Ponderosa Basin Manzanita, Whiteleaf New",SOCC,CA,Sierra NF,37.476111111111,-119.75972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Ponderosa Basin Manzanita, Whiteleaf New&gacc=SOCC&state=CA&grup=Sierra NF"
242,"Ponderosa Basin Manzanita, Whiteleaf Old",SOCC,CA,Sierra NF,37.476111111111,-119.75972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Ponderosa Basin Manzanita, Whiteleaf Old&gacc=SOCC&state=CA&grup=Sierra NF"
243,Poonkinney Ridge,NOCC,CA,PGE - NOCC,39.731388888889,-123.31638888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Poonkinney Ridge&gacc=NOCC&state=CA&grup=PGE - NOCC
244,Posta Mountain,SOCC,CA,SDG&E,32.784444444444,-116.4,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Posta Mountain&gacc=SOCC&state=CA&grup=SDG&E
245,Potrero Station,SOCC,CA,CDF San Diego Unit,32.624166666667,-116.565,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Potrero Station&gacc=SOCC&state=CA&grup=CDF San Diego Unit
246,Pozo,SOCC,CA,PGE-SOCC,35.357777777778,-120.22972222222,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pozo&gacc=SOCC&state=CA&grup=PGE-SOCC
247,Priest Grade,SOCC,CA,PGE-SOCC,37.812222222222,-120.2675,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Priest Grade&gacc=SOCC&state=CA&grup=PGE-SOCC
248,Pulgas,NOCC,CA,CalFire San Mateo- Santa Cruz Unit,37.488611111111,-122.31888888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Pulgas&gacc=NOCC&state=CA&grup=CalFire San Mateo- Santa Cruz Unit
249,Quail Hollow Ranch,NOCC,CA,CalFire Santa Clara Unit,37.086111111111,-122.06694444444,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Quail Hollow Ranch&gacc=NOCC&state=CA&grup=CalFire Santa Clara Unit
250,Quartz Hill,NOCC,CA,Klamath NF,41.599444444444,-122.94388888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Quartz Hill&gacc=NOCC&state=CA&grup=Klamath NF
251,Quartz Hill New Growth,NOCC,CA,CalFire Shasta-Trinity Unit,40.636111111111,-122.42194444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Quartz Hill New Growth&gacc=NOCC&state=CA&grup=CalFire Shasta-Trinity Unit
252,Quartz Hill Old Growth,NOCC,CA,CalFire Shasta-Trinity Unit,40.635833333333,-122.42194444444,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Quartz Hill Old Growth&gacc=NOCC&state=CA&grup=CalFire Shasta-Trinity Unit
253,Quincy RD,NOCC,CA,Plumas NF,39.973333333333,-120.94194444444,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Quincy RD&gacc=NOCC&state=CA&grup=Plumas NF
254,R Wild Horse Ranch,NOCC,CA,CalFire Tehama-Glenn Unit,40.311944444444,-122.79138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=R Wild Horse Ranch&gacc=NOCC&state=CA&grup=CalFire Tehama-Glenn Unit
255,Rainbow Camp,SOCC,CA,CDF San Diego Unit,33.4275,-117.11833333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Rainbow Camp&gacc=SOCC&state=CA&grup=CDF San Diego Unit
256,Rainbow Valley-New Growth,SOCC,CA,SDG&E,33.43,-117.14138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Rainbow Valley-New Growth&gacc=SOCC&state=CA&grup=SDG&E
257,Rainbow Valley-Old Growth,SOCC,CA,SDG&E,33.43,-117.14138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Rainbow Valley-Old Growth&gacc=SOCC&state=CA&grup=SDG&E
258,Ravendale C2D,NOCC,CA,BLM -Northern CA District,40.731388888889,-120.31611111111,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Ravendale C2D&gacc=NOCC&state=CA&grup=BLM -Northern CA District
259,Reader Ranch,NOCC,CA,CalFire Nevada-Yuba Unit,39.302777777778,-121.10972222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Reader Ranch&gacc=NOCC&state=CA&grup=CalFire Nevada-Yuba Unit
260,Red Cap Manzanita,NOCC,CA,Six Rivers NF,41.218055555556,-123.53083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Red Cap Manzanita&gacc=NOCC&state=CA&grup=Six Rivers NF
261,Red Fir,SOCC,CA,Sequoia-Kings NP,36.604722222222,-118.76833333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Red Fir&gacc=SOCC&state=CA&grup=Sequoia-Kings NP
262,Refugio,SOCC,CA,Santa Barbara County FD,34.518333333333,-120.07666666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Refugio&gacc=SOCC&state=CA&grup=Santa Barbara County FD
263,Reyes Creek,SOCC,CA,Los Padres NF,34.678333333333,-119.30972222222,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Reyes Creek&gacc=SOCC&state=CA&grup=Los Padres NF
264,Riparian,SOCC,CA,Camp Pendleton,33.393611111111,-117.52333333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Riparian&gacc=SOCC&state=CA&grup=Camp Pendleton
265,RMV,SOCC,CA,Orange County Fire,33.5,-117.51666666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=RMV&gacc=SOCC&state=CA&grup=Orange County Fire
266,Rollins Reservoir,NOCC,CA,PGE - NOCC,39.1525,-120.92333333333,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Rollins Reservoir&gacc=NOCC&state=CA&grup=PGE - NOCC
267,Rose Valley,SOCC,CA,Los Padres NF,34.550555555556,-119.17638888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Rose Valley&gacc=SOCC&state=CA&grup=Los Padres NF
268,Sagehen,NOCC,CA,Tahoe NF,39.446388888889,-120.21888888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sagehen&gacc=NOCC&state=CA&grup=Tahoe NF
269,"Saginaw Pine, Ponderosa",SOCC,CA,Sierra NF,37.198055555556,-119.41972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Saginaw Pine, Ponderosa&gacc=SOCC&state=CA&grup=Sierra NF"
270,Sailor Flat,NOCC,CA,Tahoe NF,39.180277777778,-120.50305555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sailor Flat&gacc=NOCC&state=CA&grup=Tahoe NF
271,Salmon Falls,NOCC,CA,CalFire Amador-Eldorado Unit,38.787222222222,-121.04138888889,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Salmon Falls&gacc=NOCC&state=CA&grup=CalFire Amador-Eldorado Unit
272,San Felipe,SOCC,CA,SDG&E,33.1975,-116.59805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=San Felipe&gacc=SOCC&state=CA&grup=SDG&E
273,San Jacinto,SOCC,CA,CDF Riverside Unit,33.793888888889,-116.92611111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=San Jacinto&gacc=SOCC&state=CA&grup=CDF Riverside Unit
274,San Marcos,SOCC,CA,Los Padres NF,34.511944444444,-119.80555555556,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=San Marcos&gacc=SOCC&state=CA&grup=Los Padres NF
275,Saratoga Summit,NOCC,CA,CalFire San Mateo- Santa Cruz Unit,37.245,-122.11027777778,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Saratoga Summit&gacc=NOCC&state=CA&grup=CalFire San Mateo- Santa Cruz Unit
276,Sardine,NOCC,CA,Tahoe NF,39.513055555556,-120.165,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sardine&gacc=NOCC&state=CA&grup=Tahoe NF
277,"Schueren Road, Malibu",SOCC,CA,LA County,34.078888888889,-118.64472222222,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Schueren Road, Malibu&gacc=SOCC&state=CA&grup=LA County"
278,Sedco Hills,SOCC,CA,SCE,33.641388888889,-117.23944444444,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sedco Hills&gacc=SOCC&state=CA&grup=SCE
279,Shasta Dam,NOCC,CA,PGE - NOCC,40.693611111111,-122.42722222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Shasta Dam&gacc=NOCC&state=CA&grup=PGE - NOCC
280,Shaver Lake,SOCC,CA,SCE,37.103611111111,-119.30722222222,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Shaver Lake&gacc=SOCC&state=CA&grup=SCE
281,Shinar Saddle,NOCC,CA,Klamath NF,41.848333333333,-123.33611111111,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Shinar Saddle&gacc=NOCC&state=CA&grup=Klamath NF
282,Shingletown,NOCC,CA,PGE - NOCC,40.527222222222,-121.91,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Shingletown&gacc=NOCC&state=CA&grup=PGE - NOCC
283,Silver Fork,NOCC,CA,Eldorado NF,38.715833333333,-120.22,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Silver Fork&gacc=NOCC&state=CA&grup=Eldorado NF
284,"Sisar Canyon, Upper Ojai Valley",SOCC,CA,Ventura County FD,34.4475,-119.13527777778,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Sisar Canyon, Upper Ojai Valley&gacc=SOCC&state=CA&grup=Ventura County FD"
285,Six Shooter,NOCC,CA,Klamath NF,41.719444444444,-121.71194444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Six Shooter&gacc=NOCC&state=CA&grup=Klamath NF
286,Smith Ranch,SOCC,CA,CDF BEU,36.544722222222,-121.16083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Smith Ranch&gacc=SOCC&state=CA&grup=CDF BEU
287,SO,NOCC,CA,Lake Tahoe Basin M.U.,38.932222222222,-119.97194444444,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=SO&gacc=NOCC&state=CA&grup=Lake Tahoe Basin M.U.
288,Sonora,SOCC,CA,CDF Toulumne-Calaveras Unit,38.003333333333,-120.35166666667,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sonora&gacc=SOCC&state=CA&grup=CDF Toulumne-Calaveras Unit
289,Spunky Canyon,SOCC,CA,SCE,34.585277777778,-118.36027777778,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Spunky Canyon&gacc=SOCC&state=CA&grup=SCE
290,ST RTE 35 & 92,NOCC,CA,CalFire San Mateo- Santa Cruz Unit,37.487222222222,-122.36416666667,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=ST RTE 35 & 92&gacc=NOCC&state=CA&grup=CalFire San Mateo- Santa Cruz Unit
291,Stampede,NOCC,CA,Tahoe NF,39.4725,-120.09805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Stampede&gacc=NOCC&state=CA&grup=Tahoe NF
292,Station 14 New Growth,NOCC,CA,CalFire Shasta-Trinity Unit,40.9125,-121.63333333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Station 14 New Growth&gacc=NOCC&state=CA&grup=CalFire Shasta-Trinity Unit
293,Station 14 Old Growth and 1000 Hr,NOCC,CA,CalFire Shasta-Trinity Unit,40.912777777778,-121.63333333333,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Station 14 Old Growth and 1000 Hr&gacc=NOCC&state=CA&grup=CalFire Shasta-Trinity Unit
294,Station 60 New Growth,NOCC,CA,CalFire Shasta-Trinity Unit,40.751666666667,-122.90416666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Station 60 New Growth&gacc=NOCC&state=CA&grup=CalFire Shasta-Trinity Unit
295,Station 60 old growth and 1000 Hr.,NOCC,CA,CalFire Shasta-Trinity Unit,40.751944444444,-122.90416666667,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Station 60 old growth and 1000 Hr.&gacc=NOCC&state=CA&grup=CalFire Shasta-Trinity Unit
296,Stony Gorge,NOCC,CA,CalFire Tehama-Glenn Unit,39.599722222222,-122.52916666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Stony Gorge&gacc=NOCC&state=CA&grup=CalFire Tehama-Glenn Unit
297,Stonyford,NOCC,CA,Mendocino NF,39.356944444444,-122.63777777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Stonyford&gacc=NOCC&state=CA&grup=Mendocino NF
298,Strawberry,SOCC,CA,San Bernardino NF,33.708333333333,-116.77083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Strawberry&gacc=SOCC&state=CA&grup=San Bernardino NF
299,"Stunt Road, Calabasas",SOCC,CA,LA County,34.101111111111,-118.655,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Stunt Road, Calabasas&gacc=SOCC&state=CA&grup=LA County"
300,Succor Flat,NOCC,CA,Tahoe NF,39.123888888889,-120.80388888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Succor Flat&gacc=NOCC&state=CA&grup=Tahoe NF
301,Sugar Hill,NOCC,CA,Modoc NF,41.835277777778,-120.34861111111,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sugar Hill&gacc=NOCC&state=CA&grup=Modoc NF
302,Sugarloaf,NOCC,CA,Eldorado NF,38.7875,-120.31277777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sugarloaf&gacc=NOCC&state=CA&grup=Eldorado NF
303,Sugarloaf (SHF),NOCC,CA,Shasta-Trinity NF,40.915833333333,-122.43472222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sugarloaf (SHF)&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
304,Summit,SOCC,CA,Yosemite NP,37.671666666667,-119.65722222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Summit&gacc=SOCC&state=CA&grup=Yosemite NP
305,Summit1,SOCC,CA,Stanislaus NF,38.1925,-120.12305555556,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Summit1&gacc=SOCC&state=CA&grup=Stanislaus NF
306,Summit2,SOCC,CA,Stanislaus NF,38.166944444444,-120.11055555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Summit2&gacc=SOCC&state=CA&grup=Stanislaus NF
307,Suncrest,SOCC,CA,SDG&E,32.813055555556,-116.67861111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Suncrest&gacc=SOCC&state=CA&grup=SDG&E
308,Sweetland,NOCC,CA,PGE - NOCC,39.326944444444,-121.11111111111,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sweetland&gacc=NOCC&state=CA&grup=PGE - NOCC
309,Sycamore Canyon,SOCC,CA,LA County,34.1525,-117.80194444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Sycamore Canyon&gacc=SOCC&state=CA&grup=LA County
310,TahoeDonner,NOCC,CA,CalFire Nevada-Yuba Unit,39.339722222222,-120.27333333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=TahoeDonner&gacc=NOCC&state=CA&grup=CalFire Nevada-Yuba Unit
311,"Tapo Canyon, Simi Valley",SOCC,CA,Ventura County FD,34.306388888889,-118.71027777778,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Tapo Canyon, Simi Valley&gacc=SOCC&state=CA&grup=Ventura County FD"
312,Tehachapi new growth,SOCC,CA,Kern County FD,35.096944444444,-118.49111111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Tehachapi new growth&gacc=SOCC&state=CA&grup=Kern County FD
313,Tehachapi old growth,SOCC,CA,Kern County FD,35.096944444444,-118.49111111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Tehachapi old growth&gacc=SOCC&state=CA&grup=Kern County FD
314,Temecula,SOCC,CA,CDF Riverside Unit,33.4575,-117.17111111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Temecula&gacc=SOCC&state=CA&grup=CDF Riverside Unit
315,Temescal CNF,SOCC,CA,Cleveland NF,33.748055555556,-117.48138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Temescal CNF&gacc=SOCC&state=CA&grup=Cleveland NF
316,Templeton,SOCC,CA,PGE-SOCC,35.463055555556,-120.74888888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Templeton&gacc=SOCC&state=CA&grup=PGE-SOCC
317,Templin Highway,SOCC,CA,LA County,34.571666666667,-118.67777777778,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Templin Highway&gacc=SOCC&state=CA&grup=LA County
318,Tepusquet,SOCC,CA,Santa Barbara County FD,34.988055555556,-120.19666666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Tepusquet&gacc=SOCC&state=CA&grup=Santa Barbara County FD
319,Throckmorton,NOCC,CA,Marin Co,37.913333333333,-122.58,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Throckmorton&gacc=NOCC&state=CA&grup=Marin Co
320,Tollhouse,SOCC,CA,PGE-SOCC,37.043333333333,-119.40388888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Tollhouse&gacc=SOCC&state=CA&grup=PGE-SOCC
321,Tollhouse,SOCC,CA,SCE,32.036944444444,-119.38638888889,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Tollhouse&gacc=SOCC&state=CA&grup=SCE
322,Tonzi Road,NOCC,CA,CalFire Amador-Eldorado Unit,38.411388888889,-120.88638888889,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Tonzi Road&gacc=NOCC&state=CA&grup=CalFire Amador-Eldorado Unit
323,"Trippet Ranch, Topanga",SOCC,CA,LA County,34.093333333333,-118.59777777778,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Trippet Ranch, Topanga&gacc=SOCC&state=CA&grup=LA County"
324,Trough - New Growth,NOCC,CA,Mendocino NF,39.356111111111,-122.64166666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Trough - New Growth&gacc=NOCC&state=CA&grup=Mendocino NF
325,Trough - Old Growth,NOCC,CA,Mendocino NF,39.356111111111,-122.64166666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Trough - Old Growth&gacc=NOCC&state=CA&grup=Mendocino NF
